FLDATE,QC_modify_Date,ou,FLYPITCODE,Itemdesc,pt,dn,FLYPGRADE,grade_actual,Grade_Type,Department,BM_Line,repack,packingfor,FLYPNETWT
2025-04-17,2025-04-20,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,D,D,Firstgrade,DYEING,DYE-JET2,1,Domestic,11.4
2025-09-13,2025-09-14,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,54.0
2025-10-09,2025-10-14,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Export,317.59
2025-05-23,2025-05-24,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,448.04
2025-08-28,2025-09-01,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,C,Firstgrade,CUTTING,CUT-LINE3,0,Export,135.02
2025-10-04,2025-10-07,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,C,downgrade,FINISHING,STEAM-01,1,Export,578.29
2025-07-07,2025-07-09,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,120.94
2026-01-10,2026-01-12,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Domestic,154.84
2026-01-09,2026-01-10,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,42.36
2026-02-06,2026-02-11,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Domestic,485.6
2025-07-17,2025-07-18,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,D,downgrade,KNITTING,KNIT-04,1,Export,147.5
2025-08-13,2025-08-18,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,1,Domestic,91.11
2026-02-07,2026-02-09,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,D,B,Firstgrade,WEAVING,LOOM-A1,1,Domestic,59.92
2025-09-11,2025-09-16,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,D,D,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,63.12
2025-07-28,2025-08-02,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,342.15
2025-12-18,2025-12-22,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,C,B,Firstgrade,CUTTING,CUT-LINE3,1,Domestic,293.27
2025-06-06,2025-06-09,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,A,Firstgrade,FINISHING,STEAM-01,1,Export,377.3
2025-11-18,2025-11-22,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,15.51
2025-06-12,2025-06-15,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,WEAVING,LOOM-A1,1,Capt Packing,90.74
2025-07-22,2025-07-27,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,C,downgrade,FINISHING,STEAM-01,1,Export,454.7
2026-01-21,2026-01-24,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Domestic,177.87
2025-06-12,2025-06-13,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,WEAVING,LOOM-A1,1,Capt Packing,140.81
2025-09-13,2025-09-16,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,B,downgrade,KNITTING,KNIT-04,1,Export,368.3
2025-08-31,2025-09-01,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,173.17
2026-01-03,2026-01-04,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,207.5
2025-11-30,2025-12-02,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,D,downgrade,WEAVING,LOOM-A1,1,Domestic,38.15
2025-06-09,2025-06-14,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,D,D,Firstgrade,WEAVING,LOOM-A1,1,Capt Packing,17.47
2025-03-11,2025-03-15,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,D,downgrade,KNITTING,KNIT-04,1,Domestic,40.29
2025-03-23,2025-03-28,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,100.87
2025-06-21,2025-06-23,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,D,D,Firstgrade,KNITTING,KNIT-04,1,Export,120.46
2025-09-06,2025-09-10,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,512.36
2025-08-19,2025-08-22,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,49.54
2025-05-29,2025-06-02,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,C,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,152.3
2025-08-09,2025-08-11,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,C,Firstgrade,DYEING,DYE-JET2,1,Domestic,210.76
2025-08-18,2025-08-23,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,C,C,Firstgrade,FINISHING,STEAM-01,0,Domestic,24.6
2026-01-23,2026-01-26,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Export,299.96
2025-03-13,2025-03-16,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,D,D,Firstgrade,WEAVING,LOOM-A1,0,Export,491.2
2025-08-16,2025-08-17,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,28.03
2025-10-14,2025-10-18,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,FINISHING,STEAM-01,0,Domestic,250.38
2025-07-22,2025-07-23,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,466.11
2025-05-09,2025-05-11,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Export,145.56
2026-01-31,2026-02-02,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,101.04
2025-11-17,2025-11-19,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,D,downgrade,WEAVING,LOOM-A1,1,Domestic,55.97
2025-09-10,2025-09-11,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,A1,Firstgrade,CUTTING,CUT-LINE3,0,Export,25.74
2025-12-22,2025-12-26,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,B,downgrade,FINISHING,STEAM-01,1,Export,353.37
2025-10-22,2025-10-23,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,0,Export,41.03
2025-11-16,2025-11-17,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,D,D,Firstgrade,FINISHING,STEAM-01,0,Domestic,51.19
2025-05-13,2025-05-16,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,C,C,Firstgrade,FINISHING,STEAM-01,0,Domestic,44.96
2025-02-20,2025-02-24,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,A1,Firstgrade,DYEING,DYE-JET2,1,Export,453.63
2025-11-13,2025-11-15,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,D,D,Firstgrade,WEAVING,LOOM-A1,0,Export,32.62
2025-01-31,2025-02-04,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,D,downgrade,FINISHING,STEAM-01,1,Export,40.64
2025-12-04,2025-12-08,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,KNITTING,KNIT-04,1,Domestic,23.72
2025-10-24,2025-10-25,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,7.21
2025-10-30,2025-11-04,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,A1,Firstgrade,KNITTING,KNIT-04,1,Domestic,403.29
2025-08-15,2025-08-20,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,C,C,Firstgrade,DYEING,DYE-JET2,0,Export,14.39
2026-02-04,2026-02-05,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A1,downgrade,KNITTING,KNIT-04,1,Export,356.35
2025-05-08,2025-05-09,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,218.69
2025-12-13,2025-12-15,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,81.11
2025-09-03,2025-09-07,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,C,downgrade,DYEING,DYE-JET2,1,Domestic,131.66
2025-06-09,2025-06-12,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,C,C,Firstgrade,WEAVING,LOOM-A1,0,Domestic,349.9
2025-08-19,2025-08-21,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,B,downgrade,DYEING,DYE-JET2,1,Domestic,411.6
2025-09-22,2025-09-26,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,DYEING,DYE-JET2,1,Domestic,243.25
2025-12-07,2025-12-11,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,76.87
2025-11-19,2025-11-24,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,99.71
2025-12-10,2025-12-15,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Export,404.95
2025-12-13,2025-12-17,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,B,Firstgrade,DYEING,DYE-JET2,0,Export,32.44
2025-09-03,2025-09-07,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,C,downgrade,KNITTING,KNIT-04,1,Export,66.05
2025-05-22,2025-05-25,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,C,C,Firstgrade,WEAVING,LOOM-A1,0,Domestic,337.06
2025-04-14,2025-04-19,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,30.59
2026-01-19,2026-01-21,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Export,61.59
2026-01-11,2026-01-16,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,D,downgrade,DYEING,DYE-JET2,1,Export,72.88
2025-07-30,2025-07-31,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,KNITTING,KNIT-04,1,Capt Packing,53.7
2025-06-04,2025-06-09,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,87.21
2025-12-08,2025-12-09,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,15.89
2025-08-08,2025-08-10,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,D,downgrade,DYEING,DYE-JET2,1,Domestic,16.9
2025-09-19,2025-09-23,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,DYEING,DYE-JET2,1,Capt Packing,166.59
2025-11-30,2025-12-04,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Domestic,48.28
2025-07-09,2025-07-13,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,401.54
2025-12-21,2025-12-25,6,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Domestic,23.32
2025-06-25,2025-06-30,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,DYEING,DYE-JET2,1,Export,104.51
2025-11-12,2025-11-17,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Domestic,154.21
2025-09-23,2025-09-25,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Export,121.54
2025-09-09,2025-09-13,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,D,downgrade,FINISHING,STEAM-01,1,Capt Packing,232.04
2025-03-13,2025-03-15,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Export,84.43
2025-05-20,2025-05-22,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Domestic,87.37
2025-10-21,2025-10-24,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,451.79
2025-10-02,2025-10-06,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,B,A,Firstgrade,KNITTING,KNIT-04,1,Export,69.3
2025-08-27,2025-08-29,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,D,downgrade,FINISHING,STEAM-01,1,Domestic,434.09
2025-08-28,2025-08-30,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,458.36
2025-09-20,2025-09-24,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,581.36
2025-08-13,2025-08-18,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,47.79
2025-10-16,2025-10-17,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A1,D,downgrade,WEAVING,LOOM-A1,1,Domestic,17.81
2025-02-21,2025-02-22,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Capt Packing,150.42
2025-06-12,2025-06-16,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,26.33
2025-09-17,2025-09-18,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Export,39.57
2026-01-20,2026-01-25,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,32.41
2025-05-04,2025-05-08,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,C,C,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,13.19
2025-11-29,2025-12-04,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,FINISHING,STEAM-01,1,Export,195.93
2026-01-10,2026-01-13,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,KNITTING,KNIT-04,1,Domestic,79.96
2026-01-28,2026-01-29,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,300.9
2025-11-21,2025-11-24,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,D,D,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,21.38
2025-05-10,2025-05-13,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,76.43
2025-09-10,2025-09-12,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Domestic,12.37
2025-05-21,2025-05-26,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Export,176.11
2025-08-24,2025-08-26,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,310.18
2025-10-10,2025-10-14,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,480.63
2025-06-02,2025-06-05,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A1,downgrade,WEAVING,LOOM-A1,1,Domestic,47.96
2025-09-29,2025-10-04,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,131.01
2025-11-09,2025-11-11,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,B,downgrade,KNITTING,KNIT-04,1,Export,663.25
2025-07-27,2025-07-29,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,C,D,downgrade,WEAVING,LOOM-A1,1,Capt Packing,17.71
2025-09-07,2025-09-08,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,82.59
2025-10-16,2025-10-19,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,C,A,Firstgrade,FINISHING,STEAM-01,1,Capt Packing,123.99
2025-04-15,2025-04-17,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,DYEING,DYE-JET2,0,Export,475.85
2025-04-18,2025-04-20,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Domestic,12.9
2025-05-08,2025-05-09,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,FINISHING,STEAM-01,0,Domestic,225.09
2025-08-02,2025-08-07,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,D,downgrade,KNITTING,KNIT-04,1,Domestic,226.41
2025-03-16,2025-03-17,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Domestic,64.8
2025-06-24,2025-06-26,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,D,D,Firstgrade,KNITTING,KNIT-04,1,Export,350.08
2025-04-03,2025-04-08,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Export,541.82
2025-03-02,2025-03-05,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,67.29
2025-08-19,2025-08-22,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,D,downgrade,FINISHING,STEAM-01,1,Export,166.99
2025-11-04,2025-11-06,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,FINISHING,STEAM-01,1,Domestic,18.99
2025-06-06,2025-06-09,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,D,B,Firstgrade,WEAVING,LOOM-A1,1,Capt Packing,129.22
2025-09-15,2025-09-16,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,C,D,downgrade,DYEING,DYE-JET2,1,Export,114.59
2025-09-28,2025-10-02,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,D,downgrade,DYEING,DYE-JET2,1,Capt Packing,179.28
2026-01-09,2026-01-13,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,C,C,Firstgrade,KNITTING,KNIT-04,0,Domestic,407.56
2025-12-27,2026-01-01,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,1,Capt Packing,147.59
2025-08-18,2025-08-19,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A1,C,downgrade,FINISHING,STEAM-01,1,Domestic,148.94
2025-07-08,2025-07-09,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A1,B,downgrade,FINISHING,STEAM-01,1,Domestic,19.8
2025-07-23,2025-07-25,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A,A,Firstgrade,KNITTING,KNIT-04,0,Capt Packing,472.36
2025-08-31,2025-09-04,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,DYEING,DYE-JET2,1,Export,62.61
2025-10-22,2025-10-23,6,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,B,C,downgrade,FINISHING,STEAM-01,1,Domestic,11.8
2025-11-09,2025-11-12,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,C,Firstgrade,KNITTING,KNIT-04,0,Domestic,130.0
2025-12-22,2025-12-24,5,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,C,D,downgrade,CUTTING,CUT-LINE3,1,Export,28.93
2025-05-08,2025-05-12,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Export,580.05
2026-01-29,2026-02-02,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,A,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,118.79
2025-07-04,2025-07-06,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,1,Capt Packing,98.25
2026-01-22,2026-01-24,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,247.67
2025-06-17,2025-06-21,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,CUTTING,CUT-LINE3,0,Export,241.31
2025-08-27,2025-08-30,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,C,C,Firstgrade,KNITTING,KNIT-04,0,Export,233.34
2025-04-26,2025-05-01,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,D,downgrade,WEAVING,LOOM-A1,1,Domestic,446.55
2026-02-10,2026-02-14,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,A,D,downgrade,DYEING,DYE-JET2,1,Domestic,102.01
2025-12-05,2025-12-09,5,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,201.71
2025-09-15,2025-09-16,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,103.51
2025-09-30,2025-10-01,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Capt Packing,54.04
2025-11-07,2025-11-08,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Export,61.27
2025-10-29,2025-11-03,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Domestic,302.26
2025-11-01,2025-11-03,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,D,D,Firstgrade,FINISHING,STEAM-01,0,Domestic,34.77
2025-06-25,2025-06-28,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,D,D,Firstgrade,CUTTING,CUT-LINE3,0,Domestic,453.4
2025-09-06,2025-09-10,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,D,D,Firstgrade,KNITTING,KNIT-04,1,Domestic,169.02
2025-11-12,2025-11-15,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A1,A1,Firstgrade,FINISHING,STEAM-01,0,Capt Packing,243.66
2025-04-22,2025-04-26,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,C,C,Firstgrade,CUTTING,CUT-LINE3,0,Export,502.44
2025-11-19,2025-11-22,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Domestic,478.91
2025-06-14,2025-06-15,6,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,B,downgrade,FINISHING,STEAM-01,1,Export,36.19
2025-08-18,2025-08-23,6,TX-WOL-35,Merino Wool Interlock,Interlock,350gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,180.34
2025-11-21,2025-11-22,6,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A1,A1,Firstgrade,KNITTING,KNIT-04,0,Domestic,341.81
2026-01-16,2026-01-18,5,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,D,A1,Firstgrade,CUTTING,CUT-LINE3,1,Capt Packing,128.14
2025-10-03,2025-10-07,5,TX-SIL-60,Mulberry Silk Satin,Satin,60gsm,B,B,Firstgrade,WEAVING,LOOM-A1,0,Export,12.15
2025-10-06,2025-10-08,6,TX-JSY-18,Organic Cotton Jersey,Single Jersey,180gsm,A,A,Firstgrade,DYEING,DYE-JET2,0,Domestic,5.67
2025-09-25,2025-09-30,5,TX-POP-11,Cotton Poplin,Plain Weave,110gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,79.26
2025-05-31,2025-06-03,5,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A1,B,downgrade,KNITTING,KNIT-04,1,Export,14.22
2025-12-02,2025-12-03,6,TX-TWL-25,Khaki Chino Twill,Twill,250gsm,C,C,Firstgrade,FINISHING,STEAM-01,0,Export,82.89
2025-11-17,2025-11-19,5,TX-CAN-40,Heavy Canvas,Canvas,400gsm,A1,A1,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,491.05
2026-01-22,2026-01-27,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,B,A1,Firstgrade,DYEING,DYE-JET2,1,Domestic,38.21
2025-05-12,2025-05-14,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,B,B,Firstgrade,KNITTING,KNIT-04,0,Domestic,225.43
2025-09-15,2025-09-18,6,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,D,D,Firstgrade,KNITTING,KNIT-04,0,Domestic,171.17
2025-08-17,2025-08-20,5,TX-ORD-20,Corduroy 12W,Corduroy,220gsm,A,A,Firstgrade,KNITTING,KNIT-04,1,Domestic,163.1
2025-08-10,2025-08-13,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,A,A,Firstgrade,WEAVING,LOOM-A1,0,Export,383.11
2025-05-28,2025-06-02,5,TX-DNM-14,Raw Indigo Denim,Denim,14oz,B,B,Firstgrade,WEAVING,LOOM-A1,1,Export,513.9
2025-07-04,2025-07-08,5,TX-LNN-12,Pure Linen Fabric,Linen,120gsm,A,A,Firstgrade,WEAVING,LOOM-A1,0,Capt Packing,25.82
2025-10-07,2025-10-10,6,TX-PLR-30,Recycled Poly Fleece,Polar Fleece,300gsm,A,A,Firstgrade,FINISHING,STEAM-01,1,Export,85.61
2025-09-27,2025-09-28,6,TX-CAN-40,Heavy Canvas,Canvas,400gsm,B,B,Firstgrade,CUTTING,CUT-LINE3,0,Export,505.69
